First,Second,Third,Fourth
Blue,Blue,Undervote,Yellow
Undervote,Undervote,Undervote,Undervote
Blue,Undervote,Undervote,Undervote
Blue,Undervote,Undervote,Orange
Undervote,Blue,Undervote,Undervote
Blue,Undervote,Undervote,Undervote
Blue,Undervote,Undervote,Undervote
Blue,Undervote,Undervote,Undervote
Yellow,Undervote,Undervote,Undervote
Yellow,Yellow,Yellow,Yellow
Overvote,Yellow,Undervote,Yellow
Yellow,Undervote,Undervote,Undervote
Yellow,Undervote,Undervote,Undervote
Yellow,Undervote,Undervote,Undervote
Yellow,Undervote,Undervote,Undervote
Yellow,Undervote,Undervote,Undervote
Yellow,Undervote,Undervote,Undervote
Yellow,Undervote,Undervote,Undervote
Undervote,Blue,Orange,Undervote
Yellow,Undervote,Undervote,Undervote
Purple,Blue,Undervote,Undervote
Purple,Blue,Undervote,Undervote
Purple,Blue,Undervote,Undervote
Purple,Undervote,Orange,Blue
Purple,Orange,Undervote,Undervote
Purple,Orange,Undervote,Yellow
Purple,Orange,Undervote,Undervote
Overvote,Undervote,Purple,Undervote
Orange,Blue,Undervote,Undervote
Orange,Blue,Undervote,Undervote
Orange,Blue,Undervote,Undervote
Orange,Purple,Yellow,Undervote
Orange,Undervote,Purple,Yellow
